Input,Predicted,Actual
"YES1 , The2 isle2 of2 Berk2 is2 their2 village2 , and2 they2 are2 afraid2 of2 the2 dragons2 because2 they2 steal2 their2 livestock2 , so2 when2 they2 come2 upon2 the2 dragons2 they2 usually2 kill2 them2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Haan1 , isle2 of2 Berk2 unka2 village1 hai1 aur1 wo1 dragons2 se2 darte1 hai1 kyuki1 wo1 unke2 livestock2 chura2 lete1 hai1 , to1 jab1 wo1 aate1 hai1 usually2 unko2 maar1 dete1 hai1 ."
Hello1 ?,<unk> <unk>,hello1 ?
I2 expected2 more2 like2 the2 avengers2 where2 a2 bunch2 of2 heroes2 work2 together2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",main1 ise1 kuch1 avengers2 ke1 jaise1 expect2 kiya1 that1 jis1 may1 kuch1 heroes2 saath1 mai1 kaam1 karthe1 hai1
okay1,<unk>,acha1
Where2 are2 you2 located2 ?,"<unk> , hai1 hai1",AAP1 KAHAAN1 HAIN1 ?
it2 was2 like2 a2 mother2 daughter2 love2,"muje1 , <unk> <unk> <unk> hai1 hai1",ye1 ek1 mother2 daughter2 love2 ki1 tarah1 tha1
The2 Post2 was2 apparently2 trying2 to2 release2 papers2 detailing2 they2 30 year2 involvement2 of2 the2 US2 government2 int2 he2 Vietnam2 War2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",is2 post2 tho1 papers2 ka2 release2 karne1 ke1 liye1 try1 kar1 rahe1 the1 jo1 30 years2 involvement2 detailed2 hein2 us2 government2 ka1 aur1 vietnam2 war2 ka1
"Monsters2 University2 is2 a2 sequel2 , I2 wondered2 if2 it2 is2 better2 than2 the2 first2 movie2","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Monsters2 University2 ek2 sequel2 hai1 , mujhe1 wonder1 hoga1 ki1 agar1 se1 first2 movie2 se2 better1 hai1 ."
have2 you2 Dunkirk2 ?,"<unk> , hai1 hai1",kya1 tumhare1 paas1 Dunkirk2 hai1
interesting2,<unk>,kafi1 majedar1
"Not2 only2 that2 , but2 Baz2 Lurhmann's2 direction2 was2 a2 magnificent2 sight2 to2 behold2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Yahi1 nhi1 baz1 lurhmann1 ki1 shandaar1 direction1 ne1 bhi1 roke1 rakha1
Or1 am1 i2 thinking2 of2 someone2 else2 /,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk>",ya1 mein1 kuch1 aur1 soch1 raha1 hoon1
this2 movie2 also2 may2 have2 done2 the2 best2 job2 out2 there2 on2 getting2 the2 hulk2 right2,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Ho1 sakata1 hai1 ki1 is2 movie2 ne1 bhee1 hulk1 ko1 sahee1 kaam1 karane1 mein1 behatar1 kaam1 kiya1 ho1
"The2 scene2 where2 Christy2 Lee2 says2 Facebook2 me1 is2 kinda2 funny2 , too2 . It2 certainly2 beats2 facesmash2 me2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Wo1 scene1 jaha1 Christy2 Lee1 bolti1 hai1 Facebook1 me1 funny2 type2 ka1 hai1 . Certainly2 facesmash2 me1 bolne1 se1 to1 accha1 hai1 .
hi1,hi1,hi1 namaste1
like2,<unk>,Pasand1
I2 had2 no2 idea2 this2 movie2 was2 actually2 based2 on2 a2 self-help2 book2,<unk> <unk>,Mujhe1 koi1 idea1 nahi1 tha1 ye1 movie2 actually2 ek2 self-help2 book2 k1 upar1 based1 hai1
She2 relies2 on2 love2 to2 stop2 war2 .,"muje1 , <unk> <unk> <unk> <unk> hai1",wo1 war2 band1 karne1 ke1 liye1 love1 par1 vishwas1 karti1 hai1
They2 both2 sound2 interesting2 . New2 York2 is2 a2 great2 place2 as2 well2 !,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",dono1 hi1 interesting2 lag2 rage1 . new2 york1 bhi1 kaafi1 acchi1 jagah1 hai1
For2 me2 the2 movie2 is2 average2 . Nothing2 special2 .,"muje1 , hai1 <unk> <unk> <unk> hai1 hai1",mere1 liye1 tho1 is2 movie2 average2 hein1 .. kuch1 special1 nahi1
did2 you1 get2 access2 to2 the2 documents2 about2 the2 movie2 ?,"muje1 , hai1 <unk> hai1 hai1 hai1",kya1 tumhe1 movie1 ke2 documents2 ki2 access2 mili2 ?
or2 something2,"<unk> , hai1",ya1 kuch1 kuch1
"Yes2 , the2 plot2 sounds2 really2 good2 . Turing2 manages2 to2 decrypt2 the2 Nazi2 code2 machine2 , but2 the2 Nazis2 change2 the2 code2 every2 day2 . So1 they2 all2 realize2 they2 can't2 act2 on2 every2 day's2 decrypted2 messages2 or2 the2 Nazis2 will2 know2 that2 their2 code2 machine2 is2 useless2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","haan1 , kathaanak1 vaastav1 mein1 achchha1 lagata1 hai1 . tyooring1 naajee1 kod1 masheen1 ko1 dikript1 karane1 ka1 prabandhan1 karata1 hai1 , lekin1 naajiyon1 ne1 har1 din1 kod1 badal1 diya1 . isalie1 ve1 sabhee1 mahasoos1 karate1 hain1 ki1 ve1 har1 din1 dikript1 kie1 gae1 sandeshon1 par1 kaam1 nahin1 kar1 sakate1 hain1 ya1 naajiyon1 ko1 pata1 chal1 jaega1 ki1 unakee1 kod1 masheen1 bekaar1 hai1 ."
He2 would2 be2 so2 lost2 without2 the2,"mujhe1 , hai1 <unk> hai1 hai1",voh1 lost1 hote1 unke1 bina1
I2 think2 I2 would2 love2 it2 as2 well2,"muje1 , <unk> <unk> <unk> <unk> hai1 <unk>",Mujhe1 lagta1 hai1 mujhe1 bhi1 baht1 achhi1 lagegi1
"I2 think2 I2 lost2 you2 somewhere2 in2 the2 conversation2 . Since2 it2 has2 been2 5 minutes2 without2 a2 response2 from2 you1 , I2 am2 going2 to2 abandon2 the2 discussion2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","I2 think2 maine1 tumhe1 loose1 kar1 diya1 conversation2 mein1 . kyonki1 5 minutes1 hua1 tumse1 response2 nahin1 mila1 , main1 discussion2 ko1 abandon1 karta1 hoon1 ."
Well2 it2 was2 made2 in2 2016,"muje1 , <unk> <unk> <unk> hai1",haan1 tho1 yeh1 2016 me1 aaya1
What2 about2 LA1 LA1 land1 ? Have2 you2 seen2 that2 ?,"muje1 , hai1 <unk> <unk> <unk> hai1 <unk> hai1 .",what2 about2 LA1 LA1 land1 ? kya1 tumne1 vah1 dekha1 he1 ?
"Another2 said2 , "" is2 too2 calculated2 to2 reflect2 today's2 ragged2 , tenuous2 sociopolitical2 climate2 .""","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","DUSRA1 KAHA1 KI1 ,"" AAJKAL1 KA1 RAGGED1 THO1 THODA1 REFLECT1 HEIN1 CALCULATE1 KARNE1 PE1 , TENUOUS1 SOCIOPOLITICAL1 CLIMATE2 ."""
What2 is2 your2 rating2 for2 Frozen2 ?,"muje1 , hai1 hai1 hai1",tumhari1 rating1 kya1 hai1 Frozen2
so2 you2 are2 fan2 of2 these2 superhero2 movies2 as2 well2 ?,"muje1 , hai1 <unk> hai1 hai1 hai1 hai1",So1 tum1 bhi1 in1 superhero2 movies2 ke1 fan1 ho1 ?
It2 either2 has2 to2 be2 Sven2 or2 Christophe2,"muje1 , <unk> <unk> <unk> <unk> hai1",muje1 toh1 sven1 ya2 christophe2 pasand1 hein1
"I2 don't2 believe2 Netflix2 has2 it2 , but2 worth2 checking2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","MAIN1 NETFLIX2 ME1 BAROSA1 NAHI1 KARTA1 , PAR1 CHEK1 KARNA1 HAI1"
"in2 the2 end2 , she2 chooses2 the2 lower2 class2 guy2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","akhir1 mein1 , wo1 lower2 class2 ladke1 ko1 choose1 karti1 hai1"
this2 movie2 entered2 the2 Classics2,"mujhe1 , hai1 <unk> hai1",Yah1 movie2 classic2 m2 enter2 kr1 gayi1
there2 is2 a2 scene2 where2 aurora2 is2 a2 little2 girl2 and2 she2 goes2 up2 to2 maleficent2,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",ek1 scene1 hai1 jisme1 aurora1 choti1 ladki1 hai1 aur1 wo2 maleficent2 ke1 paas1 jati1 hai1
"lol1 , I1 found2 that2 funny2 , Rocky2 with2 robots2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","lol1 , mujhe1 woh1 bahut1 funny1 lagi1 , Rocky2 with2 Robots2"
Yeah1 - I2 wanted2 to2 talk2 about2 it2 because2 I2 like2 how2 David2 Fincher2 directed2 it2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Yeah1 - me1 uske1 baare1 me1 baat1 karna1 chahta1 hun1 , jaise1 David2 Fincher2 ne2 ise1 direct1 kiya1 mujhe1 pasand1 aaya1 ."
"i1 mean2 , he2 gets2 paid2 , but2 it's2 not2 something2 he2 wants2 to2 do1 . This2 happens2 in2 life2 a2 lot2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","mera1 matlab1 hai1 , usko1 pay1 mila1 lekin1 wo1 ye1 nahi1 karna1 chahta1 . Life1 mein1 aisa1 bahut1 hota1 hai1"
did2 you1 see2 it2 ?,"<unk> , hai1 hai1",AAP1 DEKHE1 ?
do1 you2 recommend2 it2 ?,"<unk> , hai1 hai1",kya1 aap1 isakee1 siphaarish1 karate1 hain1 ?
They2 tried2 to2 kill2 John2 so2 he2 was2 after2 the2 whole2 sindicate2 and2 raced2 to2 the2 Helicopter2 that2 Viggo2 was2 trying2 to2 escape2 in2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Unhone1 John1 ko1 maarne1 ki1 try1 ki1 so1 wo1 whole2 syndicate2 ke1 peeche1 tha1 aur1 jis1 Helicopter2 mein2 Viggo2 escape2 karne1 ki1 try1 kar1 raha1 tha1 uski1 taraf1 bhaaga1 .
Every1 movie2 with2 a2 fraternity2 / sorority2 always2 contains2 ' Kappa2 . ' Ever2 notice2 that2 ?,"muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",kappa2 ko1 saari1 movies1 mein2 fraternity2 / sorority2 hein2 .. kya1 aap1 notice1 nahi1 kiya1
Animated2 ???,"<unk> , hai1",Kya1 yeh1 Animated1 hai1 ???
Yes2 for2 sure2 . I2 like2 it2 .,"muje1 , <unk> <unk> <unk> hai1 hai1","Han1 bilkul1 , mujhe1 wo1 pasand1 hai1 ."
why2 let2 chat2,"<unk> , hai1",Kyu1 chalo1 chat1 karte1 hai1
No2 have2 you2 ? is2 that2 the2 end2 ?,"mujhe1 , hai1 hai1 hai1 hai1",nahi1 yar1 .. aap1 ? aur1 end1 kya1 hein1 ?
"I1 love1 war2 movies2 , especially2 ones2 based2 on2 historical2 events2","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","mujhe1 warmovie1 pasant1 hai1 , zyathathar1 pouranic2 sambhav1"
I1 know2 they2 are2 too1 funny1 . Hiccup2 is2 a2 great2 nickname2 though2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Mujhe1 pata1 hai1 bahut1 funny1 hai1 . waise1 Hiccup1 bahut1 badhiya1 nickname2 hai2 .
What's2 the2 rotten2 tomatoes2 score2 ?,"mujhe1 , hai1 hai1 hai1",sada1 hua1 tamaatar2 skor2 kya1 hai1 ?
"I'd2 love2 to2 tell1 you2 but2 I2 don't2 have2 the2 page2 with2 the2 plot2 summary2 anymore2 , haha1 . :)2","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","mein1 bataana1 toh1 chahataa1 hoon1 par1 mere1 pas1 woh1 page1 nahin1 hain1 jisme1 plot2 summary2 thi1 , haha1 :)2"
Batman2 and2 Superman2 are2 enemies2 in2 this2 film2 ?,"muje1 , hai1 <unk> hai1 hai1 hai1",Kya1 Batman1 aur1 Superman1 is2 film1 me2 enemies2 hai2 ?
How2 did2 you2 like2 Iron2 Man2 ?,"muje1 , hai1 hai1 hai1",are2 iron2 man1 ko1 kaise1 pasand1 aaya1 ?
How2 do1 you2 feel2 about2 the2 movie2 ? Care2 to2 share2 a2 little2 bit2 ?,"muje1 , hai1 <unk> ki1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",tumhe1 movie1 ke1 bare1 me1 kaisa1 laga1 ? bata1 sakte1 ho1 thoda1 ?
He2 looks2 like2 the2 villian2 commander2 from2 the2 newer2 Star2 Wars2 movies2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Naye1 star2 wars2 movie2 me1 wo1 villian2 commander2 ke1 jesa1 dikh1 raha1 tha1
"Yeah1 , the1 best2 film2 in2 modern2 animation2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Haan1 , modern2 animation2 mein1 best2 film1 hai1 ."
They2 get2 really2 lucky2 several2 times2 .,"mujhe1 , <unk> <unk> hai1 hai1",Wo1 bahut1 lucky1 ban1 gaye1 kaafi1 baar1
98% on2 Rotten2 Tomatoes2 !,"haan1 , hai1 <unk> hai1",Rotten2 Tomatoes2 pe2 98%.
they2 make2 similar2 animated2 movies2,"mujhe1 , hai1 <unk> hai1",VOH1 THO1 SIMILAR1 ANIMATED2 MOVIES1 BANATE1
the2 all2 star2 cast2 really2 helped2 too2,"muje1 , <unk> <unk> <unk> hai1",Sabhe1 star2 cast2 ne2 vaastav1 mein1 bahut1 madad1 ke1 .
"Just2 starting2 at2 a2 new2 high2 school2 , being2 an2 outsider2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Just1 naye1 high2 school2 me2 start1 karna1 , ek1 outsider2 hoke1"
Hi1 have2 you2 seen2 Wonder2 Woman2 yet2 ?,"muje1 , hai1 <unk> hai1 hai1",hi1 kya1 tumne1 wonder1 woman2 dekha1 hai1 ab1 tak1 ?
Who2 is2 the2 enemy2 in2 the2 movie2 ?,"mujhe1 , hai1 hai1 hai1",iss1 movie2 me1 dushman1 koun1 tha1 ?
"Yeah1 I'm1 sure2 that2 wasn't2 explained2 as2 well2 as2 it2 should2 have2 , but2 they2 probably2 needed2 to2 get2 to2 the2 bang1 bang2 scenes2 faster2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Yeah1 , I1 am2 sure2 that2 wasn't2 explained2 jaisse2 hona1 chaiiya1 tha1 , par1 ho1 sakta1 hai1 they2 needed2 to2 get2 to2 the2 bang1 bang2 scenes2 faster2"
Yes1 he2 has2 very2 good2 humor2 and2 acts2 with2 ease2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",Han1 uske1 pass1 bahut1 accha1 humor1 hai1 aur1 wo1 bahut1 ease1 se2 work1 karta1 hai1
I2 enjoyed2 his2 movies2,"haan1 , hai1 hai1",Maine1 uski1 movies1 ko2 enjoy2 karta1 hun1
bounty2 on2 the2 killer2 shark2,"haan1 , hai1 hai1",hatyaara1 shaark1 par1 inaam1
"Same1 here2 ! I2 honestly2 felt2 bad2 for2 Kevin2 at2 first2 seeing2 as2 how2 he2 was2 ridiculed2 by2 his2 siblings2 / cousins2 before2 being2 left2 behind2 . Like1 you1 , i2 could2 relate2 as2 well2 to2 the2 ridicule2 aspect2 of2 it2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","yaha1 bhi1 ! muje1 honestly2 kevin2 ke1 liye1 bura1 laga1 kyon1 ki1 pehele1 baar1 use1 dekha1 tho2 ridiculed2 mein2 uska1 siblings2 yaani2 cousins2 tho2 uska1 picha1 chod1 diya1 . aapke1 tarah1 , tho1 mein1 us2 ridicule2 ka2 aspect1 se2 relate2 kar1 raha1 tha1"
totally2 agree2,"<unk> , hai1",bilkul1 agree1
Yes1 ! And1 Keanu2 Reeves2 did2 such2 a2 great2 job2,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",haan1 aur1 Keanu2 Reeves2 tho1 ache1 job1 kiya1
You2 can2 probably2 see2 it2 on2 Netflix2 .,"muje1 , hai1 <unk> <unk> <unk> hai1",kya1 yeh1 netflix2 mein2 dekh1 sakthe1 ?
imdb2,<unk>,imdb2
what2 about2 you2 ?,"<unk> , hai1 hai1",apke1 baare1 me1 kya1 ?
That's2 Adrianne2 Palicki2,"<unk> , hai1 hai1",Wo1 Adrianne2 Palicki2 hai1
I2 do1 . I2 get2 real2 into2 them2 and2 try2 to2 dig2 up2 as2 much2 info2 as2 I2 can2 .,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",haan1 yar1 .. muje1 tho1 is2 film1 ka1 info1 chahiye1 tho1 mein1 sab1 info2 collect2 kar1 loonga1
revenge2 thrillers2 are2 intense2,"haan1 , hai1 hai1",revenge2 thrillers2 tho2 badi1 intense2 hein2
"I2 think2 if2 Patty2 Jenkins2 directs2 a2 sequel2 , it2 would2 be2 as2 good2 as2 the2 first2 one2 . She2 did2 a2 great2 job2 with2 this2 movie2 .","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","mujhe1 lagata1 hai1 ki1 agar1 patty2 jenkins2 ek2 seekval1 ka1 nirdeshan1 karatee1 hai1 , to1 yah1 pahale1 vaale1 kee1 tarah1 achchha1 hoga1 iss1 movie1 ke1 saath1 unhonne1 bahut1 achchha1 kaam1 kiya1 ."
How2 are2 you1 ?,"<unk> , hai1 hai1",Kaise1 ho1 ?
"it2 is2 interesting2 how2 he2 suggested2 getting2 rid2 of2 "" the2 ""","muje1 , hai1 <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",ye1 interesting2 hai1 kaise1 usne1 ' the1 ' se2 rid1 karne1 ka1 suggest2 .
Its2 based2 on2 Dunkirk's2 evacuation2 during2 WWII2 .,"muje1 , <unk> <unk> <unk> <unk> hai1",ye1 during2 WWII2 Dunkirk's2 evacuation2 par2 based2 he2 .
I2 really1 want2 to2 watch2 this2 movie2 I2 think2,"muje1 , hai1 <unk> <unk> <unk> hai1 hai1","Me1 really1 ye1 movie2 watch2 karna1 chahuga1 , I1 think2"
Yes2 it's2 about2 The2 social2 Network2,"muje1 , hai1 <unk> <unk> hai1 hai1",Han1 ye1 The2 social2 Network2 ke1 baare1 mein1 hai1
so2 I2 think2 it2 is2 already2 in2 DVD2,"muje1 , hai1 <unk> <unk> <unk> hai1 <unk>",mujhe1 lagta1 hai1 ye1 dvd2 mai1 pehle1 se1 hi1 hai1
The2 Minions2 provide2 an2 extra2 dose2 of2 humor2 too1,"muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",The2 minions2 ne2 humor1 ko1 extra2 dose2 provide2 kiya1 .
"What2 I2 know2 is2 that2 Rotten2 Tomatoes2 named2 it2 in2 its2 "" Top2 50 Greatest2 Teen2 Comedies2 "".","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","Mujhe1 pata1 hai1 k1 Rotten2 Tomatoes2 ne2 use1 apni1 "" Top1 50 Greatest2 Teen2 Comedies2 "" me2 dala1 hai1"
Im2 guessing2 he2 has2 the2 leading2 role2,"muje1 , <unk> <unk> <unk> <unk> hai1 <unk>",mujhe1 lagtha1 hai1 achhi1 role1 hai1 .
Do1 you2 have2 any2 other2 favorite2 film2 ?,"muje1 , hai1 <unk> hai1 hai1",apke1 pas1 khoie1 pasand2 film1 hai1
He2 killed2 it2 with2 this2 one2,"mujhe1 , hai1 <unk> <unk> <unk> hai1",IS1 SE1 VAH1 USKO1 MAAR1 DIYA1
"I2 also2 think2 it's2 a2 little2 bit2 inspired2 by2 rock2 em2 sock2 em2 robots2 , an2 old2 toy2","muje1 , <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>","mere1 khayaal1 se1 yeh1 inspire2 hui1 he1 rock2 em2 sock2 em2 robots2 , ek1 purani1 toy1"
Thanks2 for2 the2 conversation2,"haan1 , hai1 hai1",conversation2 ke1 liye1 thanks1
