Input,Predicted,Actual
PAANCH1 MINUTE1 HO1 GAYE1 HAMARA1 CHAT1 SHURO1 HO1 KAR1 . AAPKA1 UTTAR1 AGAR1 MUJHE1 AGLA1 MINUTE1 TAK1 NAHIN1 MILA1 TOH1 MUJHE1 YE1 BAATHCHEET1 RADD1 KARNI1 PADEGI1 . MEIN1 MAAFI1 CHAHTA1 HOON1 AGAR1 AAPKO1 KUCH1 ASUVIDHA1 HO1 .,"i2 , , it2 the2 , . , . the2 . . . . . . . . . . . . . . . . . . . . . . . .","It2 has2 now2 been2 five2 minutes2 since2 we2 began2 this2 chat2 . If2 I2 have2 not2 heard2 from2 you2 within2 the2 next2 minute2 , I2 will2 have2 to2 abort2 this2 conversation2 . I2 am1 sorry1 for2 any2 inconvenience2 that2 this2 may2 cause2 for2 you1 ."
aap1 waha1 ho1,the2 .,r1 u1 there1
lekin1 main1 bohat1 surprised2 tha2 ki1 kisine1 Sebastaian1 ko2 ' jazz2 snob2 ' review2 kia2 kyunki1 mujhe1 aisi1 vibe1 nahi1 aati1,"i2 , it2 the2 the2 , , , , , the2 , the2 . the2 . . . . . . .","But1 I2 really2 was2 surprised2 that2 someone2 reviewed2 Sebastian2 as2 a2 "" jazz2 snob2 "" because2 I2 did2 not2 get2 that2 vibe2 at2 all2"
Bahut1 badia1 lagta1 hai1 .,"i2 , .",Sounds2 great2 .
"ISKE1 BAARE1 MEIN1 , MUJE1 KAAFI1 INFORMATION1 MILA1 HEIN1","i2 , , it2 the2 . . .",That2 ’ s1 OK1 I1 ’ ve2 got1 a2 bunch2 information2 from2 We1 can2 figure2 it2 out2
muje1 romantic2 drama2 pasand1 hein1,"i2 , . .",I2 like2 romantic2 drama2
JAB1 TAK1 HUMANS1 AAPAS1 MEIN1 AATHE1 TAB1 TAK1 HUM1 KABHI1 INTRINSICALLY1 CHANGE1 NAHI1 KARTE1,"i2 , , it2 the2 , . . . . . . .",As2 long2 as2 humans2 are2 around2 we'll2 never2 really2 intrinsically2 change2 .
abhi1 mujhe1 achchi1 tarah1 se1 yaad1 aaya1 jahan1 hugh2 jackman2 bulls2 ke1 saath1 fight1 karta1 hai1 shuruaat1 mein1 .,"i2 , it2 the2 the2 , , , , the2 the2 . . . . . . . . .",now2 I2 rember2 it2 better2 where2 hugh2 jackman2 fights2 the2 bull2 in2 the2 beginning2
ha1 ha1 tho1,"i2 , .",hahaha1 uh1 oh1
"although2 , mein2 tho1 expect2 kar1 rahi1 thi1 ki1 koi1 hidden2 adult2 jokes2 jo2 college1 mein1 hota1 tha1 aur1 fraternity2 tho1 muje1 yek1 ya1 do1 slip2 karne1 ke1 liye1 think1 karaya1","i2 , it2 the2 the2 , , , , , the2 , the2 , . the2 . the2 . . . . . . . . . . . .",Although2 i2 expect2 a2 few2 hidden2 adult2 jokes2 cause2 college2 and2 fraternity2 makes2 me2 think2 they2 slip2 one2 or2 two2 in2 there2 .
aur1 vo1 sab1 cool1 lagte1 us1 mafia2 suits2 mein1,"i2 , , it2 . <unk> .",And2 they2 all2 looked2 so2 cool2 in2 their2 mafia2 suits2
MICHAEL2 CAINE2,i2 .,MICHAEL2 CAINE2
ho1 saktha1 .. yeh1 thoda1 artsy1 lagtha1 hein1 . agar1 aap2 museums2 jaana1 pasand1 karenge1 tho1 is2 stuff2 meaningless2 hoga1 . agar1 nahi1 tho1 ghar1 mein1 hi1 baitna1,"i2 , , it2 the2 , . . . the2 . . . . . . . . . . . . . . .","Maybe2 . It's2 also2 very2 "" artsy2 "", something2 critics2 like2 . If2 you2 like2 going2 to2 museums2 and2 looking2 at2 meaningless2 stuff2 then2 maybe2 . If2 not2 , stay2 home2 ."
"Main1 yahaan1 us1 movie1 ke1 bare1 mein1 interesting2 facts2 ke1 liye1 padh1 raha1 hoon1 . Ye1 batati1 hai1 yes1 film2 "" Steel2 "" naam1 ki1 short2 story2 pe2 based2 hai1 , joki1 1956 mein1 publish2 hui1 thi1 , use1 baad1 mein1 Twilight2 zone2 ke2 episode2 mein2 adapt1 kiya1 gaya1 tha1 . Ye1 interesting2 baat1 hai1 . Puraane1 twilight2 zone2 ke1 shows1 mujhe1 daraawne1 lagte1 hain1 . LOL2","i2 , it2 the2 the2 , , , , , the2 , the2 , . the2 . the2 . . . . . . . . . . , . , . , . , . , . , . , . , . , . , . , . <unk> . . . . . . . . . .","I'm2 reading2 through2 here2 looking2 for2 interesting2 facts2 about2 the2 movie2 . It2 says2 the2 film's2 based2 on2 a2 short2 story2 called2 "" Steel2 "" which2 was2 orginally2 published2 in2 1956, later2 adapted2 into2 a2 Twilight2 Zone2 episode2 in2 1963. Now1 that's2 interesting2 . The2 old2 Twilight2 Zone2 shows2 frightened2 me2 . lol1"
mujhe1 laga1 ki1 yah2 thrilar1 hai1,"i2 , . it2 . . .",i2 thought2 it2 said2 thriller2
"mujhe1 bhi1 Leonardo2 DiCaprio2 pasand1 hai1 , to1 mujhe1 yeh1 dekhna1 chaahiye1 !","i2 , . the2 the2 , . the2 . . . . . .","I2 do2 like2 Leonardo2 DiCaprio2 though2 , so2 I2 should2 watch2 it2 !"
"Achcha1 , woh1 Man1 of2 Steel2 ka2 sequel2 hai1 . Usme1 bahut1 meaningless2 actions2 hain1 aur1 khas1 kuch1 nahin1 ,","i2 , , it2 the2 , . , . the2 . . . . . . . . .","Well2 , it's2 the2 sequel2 to2 Man2 of2 Steel2 . There's2 a2 lot2 of2 meaningless2 action2 and2 not2 much2 else2 ."
Kya1 dragon2 baat1 kar1 sakte1 hai1 ?,"it2 , a2",Does2 the2 dragon2 talk2 ?
han1 wo2 lead2 actor2 hai1,"i2 , . .",yes1 he2 is2 the2 lead2 actor2
"well1 dekhte1 hai1 , ye1 2010 mein1 nikli1 aur1 Dreamworks2 ki2 produced2 hain1 . ye1 bilkul1 animated2 show2 hai1","i2 , , it2 the2 , . . . the2 . . . . . . . .","Well2 let2 see1 , It2 came2 out2 in2 2010 and2 was2 produced2 by2 Dreamworks2 , it2 is2 a2 fully2 animated2 show2 ."
Kya1 aapko1 pasand1 hai1 hamare1 saath1,"the2 , .",do1 you2 like2 we2 can2
daisy2 tho1 badi1 gatsby2 ka1 love2 interest2 tha1,"i2 , , it2 . . .",Daisy2 was2 Gatsby2 love2 interest2 .
Kya1 woh1 koi1 legend1 jaisa1 kuch1 nahi1 hai1 ?,"i2 , is2 the2 a2 <unk> .","Isn't2 he2 , like2 , a2 legend2 or2 something2 ?"
"maph1 karna1 , hang1 out2 .","i2 , .",Sorry2 hang2 out2 .
"ha1 , hai1 wo1 . aur2 expensive2 bhi1 .","i2 , , it2 the2 . . . . .","Yeah1 , it2 is2 . And2 expensive2 !"
"mahi1 yar1 , lekin1 rotten2 tomatoes2 ne2 62% deya1 aur1 mein1 unka1 rating1 se1 khush1 nahi1 hoon1","i2 , , it2 the2 , . , , the2 , . the2 . . . . .","Nope2 , but2 it2 only2 has2 a2 62% on2 rotten2 tomatoes2 so2 I2 would2 assume2 it2 didn't2 do2 very2 well2 ."
Cumberbach2 film2 ke1 mukhya1 akarshan1 tha1 .,"i2 , . the2 .",Cumberbach2 was2 really2 the2 highlight2 of2 the2 film2
Kitnee1 Rating1 hai1 .,"i2 , .",* rating2
"Yeah1 , meri1 typing2 slow2 hai1 , I'm2 still2 here2 .","i2 , , it2 the2 . . . . .",Yeah1 im2 still2 here2 just2 slow2 typer2
"haan1 , yeh1 tho1 true2 story2 hein1 .. voh1 actually2 NFL2 me2 play1 kar1 raha1 tha1","i2 , it2 the2 the2 , , , , the2 the2 . . . . . .","Yes2 , it's2 a2 true2 story2 . He2 actually2 still2 plays2 in2 the2 NFL2 !"
"nahin1 , lekin1 mujhe1 kuchh1 pramukh1 drshyon1 kee1 jaanakaaree1 milee1 hai1 yadi1 aap1 jaanane1 mein1 ruchi1 rakhate1 hain1 ?","i2 , , it2 the2 , <unk> , . the2 . . . .","No2 , but2 I've2 got2 info2 on2 a2 few2 of2 the2 key2 scenes2 if2 you're2 interested2 in2 knowing2 ?"
ache1 question1 kaafi1 provoking2 thought2 hein2 . is2 movie2 mein1 voh1 limbo1 ke1 liye1 gaye1 hein1 kyon1 ki1 mein2 subconscious2 dream2 par2 is2 scenario2 ko1 nahi1 mil1 paatha1 . bahut1 scary2 dream2 hein1 . kya1 aap1 ko1 is2 potential2 setback2 ke1 baare1 mein1 kya1 haal1 chaal1 hein1,"i2 , , it2 the2 , . . . the2 . . . . . . . . . . . . . . . . . . . . . . . . . . <unk> . .","Good2 question2 , and2 very2 thought2 provoking2 . In2 the2 movie2 they2 just2 went2 into2 limbo2 but2 I2 suppose2 the2 subconscious2 dreams2 would2 have2 to2 adjust2 to2 fit2 the2 new2 scenario2 . It2 would2 be2 scary2 to2 have2 the2 possibility2 of2 forgetting2 that2 you2 are2 in2 a2 dream2 at2 all2 . Do1 you2 think2 it2 would2 be2 worth2 the2 potential2 setback2 ?"
aise1 hi1 nahin1,i2 .,not2 like2 that2
lol1,bruce2 can2,lol1
ye1 kaafi2 prestigious2 paper2 hai1 . Kya1 unhone1 tabhi1 chala1 di1 ?,"i2 , is2 the2 a2 , <unk> . .",That's2 a2 pretty2 prestigious2 paper2 . Did2 they2 run2 the2 story2 right2 away2 ?
"too1 bad1 , mujhe1 romantic2 comedies2 achche1 lagte1 hain1 .","i2 , . the2 the2 . . . . .",Too1 bad2 . I2 like2 romantic2 comedies2 .
MAINNE1 YAH1 MOVIE1 KABHEE1 NAHIN1 DEKHEE1 .,"i2 , . the2 .",I2 have2 never2 seen2 this2 movie2 .
usne1 voh1 machine1 ko2 original2 ke1 tarah1 hi1 build1 kiya1 hain1,"i2 , , it2 the2 , . . . . . .",Machine2 he2 build2 was2 actually2 VERY2 visually2 similar2 to2 the2 original2 one2
?,what2 you2,?
Mujhe1 bhi1,i2 .,ME1 ALSO1
mujhe1 vishvaas1 nahin1 hota1 ki1 mahaapaur1 kee1 vajah1 se1 koronar2 shaark1 ke1 hamale1 se1 lekar1 naav1 ke1 hamale1 tak1 ke1 apane1 phaisale1 ko1 badal1 deta1 hai1 .,"i2 , it2 the2 the2 , , , , , the2 , the2 . the2 . the2 . . . . . . . . . .",What2 I2 can't2 believe2 is2 that2 because2 of2 the2 mayor2 the2 coroner2 changes2 his2 ruling2 from2 shark2 attack2 to2 boat2 attack2 .
Tumhe1 lagta1 hai1 ki1 movie2 mein1 koi1 hidden2 message2 hai1 .,"i2 , , it2 the2 . . .",Do1 you2 think2 there2 was2 a2 hidden2 message2 in2 the2 movie2 ?
kya1 ache1 movies2 hein1 kya1 ?,"what2 , a2 the2",see2 any2 good2 movies2 lately2 ?
tumhare1 sath1 film2 discuss2 karna1 nice2 tha2 ! have2 a2 great2 day2 !,"the2 , is2 the2 of2 the2 the2 the2 .",It2 was2 nice2 discussing2 the2 film2 with2 you1 ! Have1 a2 great2 day2 !
"Haan1 , thodi1 derr1 ke1 liye1","i2 , . .","Yeah1 , very2 briefly2"
unhone1 tho1 directing2 ka1 badiya1 job1 kiya1,"i2 , . the2 . . .",he2 does2 a2 great2 job2 with2 directing2
tumhe1 ise1 watch1 karna1 chahiye1,"i2 , .",You2 should2 watch2 it2
mujhe1 vishwaas1 nhi1 hota1 ki1 iss1 movie1 ko1 aaye1 itna1 lamba1 samay1 ho1 gya1,"i2 , , it2 the2 , . the2 . . . . . . .",i1 cant2 believe2 its2 been2 so2 long2 since2 this2 movie2 came2 out2
Yeh1 name1 mere1 liye1 unknown1 hai1 .,"i2 , . it2 .",These2 names2 are2 unknown2 to2 me1 .
haan1 muje1 tho1 vo1 pilot1 hona1 ka1 imagine2 kar1 raha1 tha1,"i2 , it2 the2 the2 , . . . . . .",yes2 can2 you2 imagine2 him2 being2 a2 pilot2 .
Namaste1 !,i2 .,Hello1 !
ye1 to1 thode1 while1 pehle1 tha1,"i2 , . . .",That2 was2 a2 while2 back2 .
muje1 tho1 shocked2 huva1 jab1 mein1 sunni1 tho1,"i2 , . the2 the2 . . . .",I'm2 shocked2 since2 I2 haven't2 heard2 about2 it2
jab1 gru1 us2 girls2 ko2 getsback2 kiya1 . voh1 vaakahi1 mein1 new2 meaning2 le1 aaye1 unke1 life1 mein1 /.,"i2 , it2 the2 the2 , . , , , the2 , the2 . . . . . . .",When2 Gru2 gets2 his2 girls2 back2 . They2 really2 bring2 a2 while2 new2 meaning2 to2 his2 life2 .
"vaah1 ! sunne1 main1 acha1 lagta1 hai1 , use1 comedy2 animation2 movies2 achi1 lagti1 hai1 . muje1 lagta1 hai1 hum1 sath1 main1 dekhenge1 .","i2 , , it2 the2 , . . . the2 . . . . . . . . . .","Phew2 ! That2 sounds2 great2 then2 , he2 loves2 comedy2 animation2 movies2 . I2 think2 we'll2 watch2 it2 together2"
"yeh1 , very1 cool1 . mujhe1 ye1 pasand1 hai1 par1 mujhe1 in1 general2 con-man2 pasand1 hai1 . Leonardo2 DiCaprio2 mahan2 the2 .","i2 , , it2 . <unk> .","Yeah1 , very2 cool1 . I2 loved2 it2 but2 I2 like2 con-man2 films2 in2 general2 . Leonardo2 DiCaprio2 was2 great2 ."
"Oh1 , vah1 kon1 hai1 ?","the2 , a2","Oh1 , who's2 in2 it2 ?"
voh1 director2 morten2 tyldum2 hein1,"i2 , . .",The2 director2 was2 Morten2 Tyldum2 .
muje1 laga1 ki1 yeh1 worth2 meteroitic2 score2 44 ke1 se1 upper2 hein1 .. lekin1 low1 nikla1 .. mein1 tho1 mad1 hota1 agar1 koi1 mera1 family1 ko1 aise1 koi1 maar1 dethe1,"i2 , it2 the2 the2 , . , , , the2 , the2 , . the2 . the2 . . . . . . . . . . .",I2 thought2 it2 was2 worth2 a2 meteoritic2 score2 more2 than2 44. That2 seemed2 low2 ! That2 makes2 sense2 . I2 would2 be2 mad2 if2 someone2 tried2 to2 kill2 one2 of2 my2 family2 members2 .
voh1 ache1 delivers2 karthe2 . is2 movie2 tho1 authentic2 B2 Feel1 kartha1,"i2 , , it2 the2 , . <unk> . . . . .",He2 always2 delivers2 ! This2 movie2 had2 such2 an2 authentic2 B2 movie2 feel2 to2 it2 !
"Kyuki1 ye1 animation2 hai1 , 3D1 ( agar1 tumhe1 3D2 pasand1 hai1 ) kaafi1 accha1 hai1 .","i2 , , it2 the2 , . . the2 . <unk> . .","Since2 it's2 animation2 , 3D2 ( if2 you2 like2 3D2 ) is2 really2 great2 ."
"han1 , halaki1 mai1 bohot1 niraash1 tha1 Sulley1 ke1 cheating1 karne1 se1","i2 , . the2 the2 , . . . . . . .","Yeah1 , though2 I2 was2 really2 disappointed2 with2 Sulley2 for2 cheating2 ."
ve1 ise1 pasand1 karenge1 . Iske1 ke1 bheetar1 bhee1 ek1 love1 story1 ka1 kahaanee1 hai1 . Har1 koee1 ek1 prince2 and2 princess2 ka1 love1 story1 pasand1 karata1 hai1 .,"i2 , it2 the2 the2 , , , , the2 , the2 , . the2 . the2 . . . . . . . . . . .",They2 will2 love2 it2 . Theres2 even2 a2 love1 story2 within2 the2 plot2 as2 well2 . Everyone2 loves2 a2 prince2 and2 princess2 love2 story1
"YAH1 SIRPH1 MUJHE1 THODA1 VICHITR1 LAGA1 KI1 KOEE1 US1 PHILM1 KO1 NAHIN1 JAANATA1 HAI1 , ISALIE1 MAINNE1 POOCHHA1 .","i2 , , it2 the2 , . . . the2 . . . . . . . .","It2 just2 seemed2 a2 little2 bizarre2 to2 me2 that2 someone2 didn't2 know2 that2 movie2 , so1 I2 asked2 ."
Kaafi1 accha1 . Kya1 tum1 Marvel2 fan2 ho1 ?,"what2 , a2 the2 of2 the2 ?",Pretty2 good2 . Are1 you2 a2 Marvel2 fan2 ?
"wahi1 mai1 karne1 wala1 hu1 ye1 fall1 mai1 , rah1 dekh1 raha1 hu1 camping2 krne2 ki1","i2 , it2 the2 the2 , , , , the2 the2 . . . . . .",That's2 what2 I'm2 doing2 in2 the2 fall2 ! I'm2 really2 looking2 forward2 to2 camping2 there2 !
Ji1,bruce2 .,Ji1
"Actor1 bohot1 aache1 hai1 , aur1 tum1 shaiyad1 sabko1 jante1 ho1 . Ben2 affleck2 , henry2 cavill2 , amy2 adams1 , aur1 jesse2 eisenberg2 kuch1 naam1 hai1","i2 , , it2 the2 , . . . the2 . . . . . . . . . . . . . .","The2 actors2 are2 really2 great2 and2 you2 probably2 know2 all2 of2 them2 . Ben2 Affleck2 , Henry2 Cavill2 , Amy2 Adams2 , and2 Jesse2 Eisenberg2 to2 name2 a2 few2 ."
Disney2 mein1 ?,what2 .,from2 Disney2
you1 ?,what2 you2,you1 ?
mein1 personally2 enjoy2 kiya2 .. facebook1 ka1 story1 hein1 yar1 .. reality2 based2 movie2 dekhna1 pasand1 hein1 ?,"i2 , , it2 the2 , <unk> , . the2 . . . . . .",I2 personally2 enjoyed2 it2 . It2 tells2 the2 story2 of2 the2 founding2 of2 Facebook2 . Do1 you2 like2 movies2 based2 on2 reality2 ?
"rukoo1 , superman1 maar1 gaya1 ? keise1 ??","what2 , a2 the2 of2 the2 .","Wait2 , Superman2 dies2 ? How1 ??"
Ye1 to1 cool1 hai1 . Mai1 south2 mai1 hu1 .,"i2 , , it2 . <unk> .",Oh1 very1 cool1 . I'm2 in2 the2 South2
tumne1 kya1 soch1 tha1 otterton1 ke1 savage2 hone1 pe1 ?,what2 you2 you2 the2 of2 the2 the2 ?,"What2 did2 you2 think2 about2 Otterton2 going2 "" Savage2 ""?"
mujhe1 utna1 yaad1 nahin1 haiki1 kis1 tarah1 media1 ne1 unhe1 portray2 kiya1 tha1,"i2 , it2 the2 the2 , , the2 . . . . . .",I2 can't2 quite2 remember2 how2 the2 media2 portrayed2 them2
han1 mujhe1 laga1 uska1 character1 kafi2 nuanced2 tha2 lekin1 main1 sure1 nahi1 hun1 ki1 kya1 Nevada1 wpas1 jaana1 courageous2 tha2 . Play1 kharab1 jaane1 ke1 baad1 mujhe1 lagta1 hai1 uske1 paas1 sirf1 yahi1 option2 tha2 .,"i2 , it2 the2 the2 , . , , , the2 , the2 . the2 . the2 . . . . . . . . . . . . . . . . . .","yes1 , i1 thought2 her2 character2 was2 pretty2 nuanced2 , but2 i'm1 not1 sure2 it2 being2 courageous2 of2 her2 to2 move2 back2 to2 Nevada2 . After2 the2 play2 didn't2 go2 well2 , I2 think2 that2 was2 her2 only2 option2"
"Haan1 , mujhe1 war1 movies2 pasand1 hain1","i2 , . it2 .","yeah1 , I1 like2 war2 movies2"
aap1 ko1 biopics2 pasand2 hein1 kya1 ? agar1 aapko1 is1 movie1 dekhenge1 toh1 aapko1 interest1 hoga1,"the2 , is2 the2 of2 the2 the2 the2 the2 the2 the2 .",Do1 you2 like2 biopics2 ? If2 you2 do1 this2 movie2 might2 interest2 you2 .
"haan1 , ye1 engaging2 look2 hai1 us1 waqt1 mein1 jub2 websites2 bus2 shuru1 ho1 rahe1 thay1 . kuch1 lawsuits2 jo2 jub1 shuruat1 mein1 nikle1 thay1 shayad1 bhi1 bhi1 chal1 rahe1 hai1","i2 , . the2 the2 , , , , , the2 , the2 . the2 . the2 . . . . . . . . . . . . .","Yes2 , it's2 an2 engaging2 look2 at2 that2 time2 period2 when2 websites2 were2 just2 getting2 started2 . Some2 of2 the2 lawsuits2 that2 came2 out2 of2 those2 beginnings2 might2 still2 be2 on2 going2 ."
BY1,bruce2 .,bye1
kabhi1 kabhi1 wo1 dusri1 review2 sites2 se2 jo1 kuch1 keen2 reveiwers2 ke1 dwara1 hoti1 hai1 kafi1 bhatak1 jate1 hai1,"i2 , , it2 the2 , , , , , the2 . the2 . . . . . .",They2 can2 sometimes2 stray2 quite2 far2 from2 the2 other2 review2 sites2 of2 a2 bunch2 of2 very2 keen2 reviewers2 want2 to2 bump2 the2 score2
"mein1 tho1 Big1 joss2 whedon1 ka1 fan1 nahi1 hein1 , lekin1 voh1 ache1 job1 karte1 aur1 uska1 humor1 tho2 spiceup2 hein2 us2 origin2 story2 ka1 team1 me1 . kya1 aap1 surpirsed1 hothe1 agar1 is1 mein1 kaafi1 characters2 hota2","i2 , . the2 the2 , , , , , the2 , the2 . the2 . the2 . . . . . . . . . . . . . . . . . . . . .","I'm2 not2 always2 a2 big2 Joss2 Whedon2 fan2 , but2 he2 did2 a2 good2 job2 with2 the2 humor2 to2 spice2 up2 the2 team2 origin2 story2 . Were2 you2 surprised2 that2 it2 worked2 with2 so2 many2 characters2 ?"
VOH1 HUMAN1 HEIN1,i2 .,he2 is2 a2 human2
ye1 bahut1 hi1 cute1 movie2 hai1,"i2 , . .",It2 is2 such2 a2 cute2 movie2
"haan1 , billy2 crystal2 tho2 great2 hein1 , tho1 aapka1 favorite1 character2 kon2 hein1 ?","i2 , a2 the2 a2 , <unk> , <unk> the2 . <unk> .",Yeah1 Billy2 Crystal2 is2 great2 . Who2 is2 your2 favorite2 character2 ?
"AUR1 AAP1 SAHI1 HEIN1 , AAJ1 KAL1 KA1 KIDS1 KO1 KAAFI1 MESSAGE1 NEED1 HEIN1","i2 , , it2 the2 , . . . . . . .",And1 you2 have2 a2 good2 point2 there2 about2 kids2 needing2 that2 message2 !
LOL2,bruce2 .,Lol1
to1 tab1 to1 tum1 suffer1 karte1 ho1 thoda1 sa2 vertigo2 se2,"i2 , , it2 the2 <unk> . .",then2 you2 suffer2 a2 little2 vertigo2
ye1 iski1 only2 one1 hai1 jo1 mujhe1 pata1 hai1,"i2 , , it2 . <unk> . .",This2 is2 the2 only2 one2 of2 his2 that2 I2 know2 at2 all2
"Han1 , sorry1",i2 .,"Yes1 , sorry1"
kya1 aap1 ko1 is2 director2 ka1 aur1 koi1 movies1 patha1 hein1 ?,what2 you2 you2 the2 of2 the2 the2 the2 ? ?,Do1 you1 know2 any2 other2 movies2 by2 this2 director2 ?
ye1 to2 interesting2 lagta1 he1 . me2 2nd2 John2 Wick2 movie2 dekhne1 ka1 plan1 banaunga1 . Movie1 ka1 topic2 kya2 tha1 jiske1 bare1 me1 tumne1 read1 kiya1 tha1 .,"i2 , , it2 the2 , . . . . . . . . . . . . . . . . .",That2 sounds2 interesting2 . I2 will2 make2 plans2 to2 the2 see2 the2 2nd2 John2 Wick2 movie2 . What2 was2 the2 topic2 of2 the2 movie2 that2 you2 read2 about2 ?
"MUJE1 UNKA1 WORK1 KE1 BAARE1 MEIN1 KUCH1 PATHA1 NAHI1 , LEKIN1 MEIN1 GUILLERMO1 DEL1 TORO1 KA1 BADI1 FAN1 HOON1","i2 , , it2 the2 , . . . the2 . . . . . . . .",I2 don't2 know1 much2 of2 her2 work2 but2 I2 am2 a2 big2 fan2 of2 Guillermo2 Del2 Toro2
ya1 shaayad1 gaileeliyo1 ke1 baare1 mein1 ek1 gambheer1 horar1 / naatak1 .,"the2 , is2 the2 of2 the2 . .",Or2 maybe2 a2 serious2 horror2 / drama2 about2 Galileo2 .
MEIN1 SHAPE1 OF1 WATER1 KO1 PICK1 KIYA1,"i2 , . the2 .",I2 had2 picked2 the2 shape2 of2 water2
HAAN1 MEINE1 DEKHA1 HAI1 AUR1 BAHUT1 ACCHI1 FILM1 HAI1 .,"i2 , , it2 the2 . . . .",Yes2 I've2 seen2 it2 and2 is2 very2 good2 film2
K1 maine1 kal1 hi1 baat1 kiyatha1,"i2 , .",k1 I1 just2 talked2 about2 this2 yesterday2
Wahee1 to1 main1 kar1 rahaa1 hoon1 is2 fall2 mein1 ! Main1 to1 intezar1 kar1 raha1 hoon1 wahaan1 camping1 ka1 !,"i2 , , it2 the2 , . . . the2 . . . . .",That's2 what2 I'm2 doing2 in2 the2 fall2 ! I'm2 really2 looking2 forward2 to2 camping2 there2 !
wese1 ye1 kis1 type2 ki1 movie1 hai1,"it2 , a2 the2",basically2 what2 kind2 of2 movie2 it2 is2
Wo1 ek1 romance1 movie1 hai1 jo1 1996 k2 same1 naam1 k1 novel2 k2 upar1 based1 hai1 jise1 Nicholas2 Sparks2 ne1 likha1 hai1,"it2 , , it2 the2 , <unk> , . the2 . the2 . . . .",Its2 a2 romance2 movie2 based2 on2 the2 1996 novel2 with2 the2 same2 title2 by2 Nicholas2 Sparks2
arey1 waah1 bahut1 hi1 shaandaar1 . Mujhey1 lomdi1 pasand1 hai1 or1 yeh1 bahut1 accha1 hai1 ki1 usme1 do1 lomdi1 hai1 jabki1 wo1 nakaratmak1 hai1,"i2 , , it2 the2 , . . . the2 . . . . . . . . . .",Oh1 that's2 awesome2 . I2 like2 foxes2 and2 really2 like2 that2 it2 has2 a2 fox2 duo2 even2 though2 they2 are2 cons2
