Batman2 vs2 Superman2 	batman2 vs2 superman2 
although2 critics2 can2 affect2 word2 of2 mouth2 to2 an2 extent2 	critics2 toh1 itna1 bekar1 nikla1 
Batman2 as2 a2 billionaire2 	batman1 tho2 billionaire2 ho1 gaya1 
yeah1 right1 ! 	haan1 yar1 
Isn't2 that2 what2 he2 always2 was2 ? 	kya1 voh1 hamesa1 aise1 hi1 hein1 ? 
But2 they2 make2 it2 the2 main2 focus2 . 	But2 weh1 ise1 main2 focus2 bnate1 hai1 . 
Batman2 I2 know2 , was2 humble2 	Batman1 mujhe1 pta1 hai1 , humble2 tha2 
The2 lack2 of2 intellectual2 development2 for2 the2 main2 characters2 was2 my2 problem2 . Especially2 concerning2 Lex2 Luthor2 	Main2 characters2 ke1 liye1 intellectual2 development2 mere2 liye1 problem1 thi1 . Khaaskar1 Lex2 Luthor2 se2 sambhandit1 
Have2 you2 seen2 this2 movie2 ? 	Kya1 tumne1 yeh1 movie1 dekhi1 hai1 ? 
Yes1 I2 have2 	Han1 maine1 dekhi1 
What2 was2 your2 favorite2 part2 ? 	Tumhara1 favourite1 part2 kya1 hai1 ? 
Lex2 L2 uthor2 was2 the2 worse2 villain2 ever2 	Lex2 Luthor2 sabse1 bura1 villain1 tha1 
You2 think2 ? 	Tumne1 socha1 ? 
This2 wasn't2 a2 memorable2 movie2 . It2 got2 me2 through2 a2 bucket2 of2 popcorn2 at2 the2 moment2 I2 was2 watching2 , but2 you1 forget2 about2 it2 soon2 after2 	Wo1 ek1 yaadgaar1 movie1 nhi1 thi1 . Jab1 main1 isse1 dekh1 rha1 tha1 tab1 mujhe1 popcorn1 ki1 bucket2 lene2 ka1 khayal1 aaya1 , but1 tum1 jldi1 hi1 bhool1 jaoge1 baad1 mein1 
hahaha1 	hahaha1 
Did2 people2 know2 that2 they2 were2 super2 heroes2 ? 	Kya1 logon1 ko1 pata1 tha1 that2 they2 were2 super2 heroes2 ? 
The2 best2 part2 was2 Wonder2 Woman2 action2 scenes2 in2 the2 final2 act2 	Wonder2 Woman2 action2 scenes2 final2 act2 mein1 best2 part2 tha1 
I1 love1 Wonder2 Woman2 	mein1 Wonder2 Woman2 ko1 love1 karta1 hun1 
Wonder2 Woman2 is2 the2 right2 name2 for2 her2 cause2 I2 always2 wonder2 why2 they2 took2 so2 long2 to2 get2 her2 into2 the2 movies2 	Wonder2 Woman2 uske1 liye1 sahi1 naam1 hai1 cause2 I2 always2 wonder2 why2 they2 took2 so2 long2 to2 get2 her2 into2 the2 movies2 
haha1 	haha1 
I2 agree2 !!!! 	I2 agree2 !!!! 
I1 love2 a2 good2 superhero2 movie2 ! Iron2 Man2 is2 a2 good2 one2 . 	mujhe1 good1 superhero2 movie2 achi1 lagti1 hai1 ! Iron1 Man2 achi2 movie1 hai1 
hello1 	hello1 
have2 you2 seen2 the2 mmovie2 ? 	kya1 tumne1 move1 dekhi1 hai1 ? 
Hi1 ! 	Hi1 ! 
I2 saw2 it2 many2 years2 ago2 	maine1 kafi1 years1 pehle1 dekhi1 
Yes1 , same2 ! 	haan1 , same1 ! 
And2 just2 recently2 as2 well2 . I2 really2 do2 enjoy2 Robert2 Downey2 Jr2 as2 Iron2 Man2 . 	Aur1 abhi1 recent2 mein1 . main1 Robert2 Downey2 Jr2 ko1 as2 Iron2 Man2 kafi1 enjoy2 karta1 hun1 . 
I2 can't2 believe2 it2 has2 been2 10 years2 since2 it2 came2 out2 . That's2 crazy2 . 	Mujhe1 believe1 nahi1 hota1 ki1 isey1 aaye1 huye1 10 saal1 ho1 gaye1 . That's2 crazy2 . 
I1 know1 , it2 feels2 like2 cou2 ple2 years2 	mujhe1 pata1 hai1 , lagta1 hai1 couple2 years2 hi1 huye1 hain1 
I2 like2 Robert2 Downey2 too2 	Mujhe1 bhi1 Robert2 Downey2 acha1 lagta1 hai1 
Time2 flies2 . Haha1 . 	Time2 fly2 ho1 jata1 hai1 . haha1 
Would2 you2 watch2 it2 again2 ? 	Kya1 tum1 isey1 dobara1 dekhoge1 ? 
Definitely2 ! 	Definitely2 ! 
Did1 you1 see2 it2 on2 the2 big2 screen2 the2 first2 time2 ? 	Kya1 tumne1 pehli1 baar1 isko1 big2 screen2 par1 dekha1 tha1 ? 
I2 normally2 do2 agree2 with2 Rotten2 Tomatoes2 scores2 . A2 94 for2 this2 movie2 is2 pretty2 good2 . 	Main2 Rotten2 Tomatoes2 scores2 se2 normally2 agree2 karta1 hun1 . Is1 movie1 ke1 liye1 94 kafi1 good1 tha1 . 
I2 saw2 it2 on2 DVD2 but2 still2 was2 fun2 	Maine1 isey2 DVD2 par1 dekha1 par1 still2 ye1 mazedaar1 tha1 
Honestly2 ... not2 sure1 ! Ha1 ! 	Honestly2 ... confirm2 nahi1 hai1 ! Ha1 ! 
I2 don't2 totally2 trust2 critics2 , they2 give2 biased2 reviews2 	Main2 critics2 par1 poori1 tarah1 bharosa1 nahin1 karta1 , woh1 biased2 reviews2 dete2 hain1 
Wasn't2 there2 a2 sequel2 to2 this2 movie2 ? 	Kya1 is2 movie1 ka2 sequel2 nahin1 tha1 ? 
I2 don't2 totally2 trust2 them2 either2 . I2 never2 let2 reviews2 stop2 me2 from2 watching2 a2 film2 . 	Main1 poori1 tarah1 se1 un1 par1 bharosa1 nahin1 karta1 . Mainne1 kabhi1 bhi1 apney1 aap1 ko2 reviews2 key2 based2 per2 movie1 dekhney1 se1 nahin1 roka1 . 
I2 think2 it2 is2 best2 to2 decide2 for2 yourself2 	Mujhe1 lagata1 hai1 ki1 apne1 se1 decide2 karna1 sabse1 achchha1 hai1 
I2 usually2 watch2 a2 movie2 if2 I2 like2 the2 actors2 	Main1 aksar1 woh1 movie1 dekta1 hoon1 jis1 main1 merey1 pasand1 ke1 actors2 hotey1 hai1 
I2 believe2 there2 was2 an2 Iron2 man2 2 and2 3! 	Mera1 maanna1 ​​ hai1 ki1 Iron1 man1 2 aur1 3 tha1 ! 
I2 forgot2 that2 Jeff2 bridges2 was2 in2 this2 cast2 !! 	Main1 bhool1 gaya1 ki1 Jeff2 bridges2 is2 cast2 mein1 tha1 !! 
Likewise2 !! 	Isee1 tarah1 !! 
I2 really2 did2 like2 the2 end2 of2 this2 movie2 . Especially2 when2 Tony2 Stark2 reveals2 his2 identity2 as2 Iron2 Man2 . 	Mujhe1 vaastav1 mein1 is2 movie1 ka1 end2 pasand1 aaya1 . Khaasakar1 jab1 Tony2 Stark2 ne2 Iron2 Man1 ke1 roop1 mein1 apni1 pehchaan1 bataye1 . 
I2 don't2 remember2 details2 but2 the2 entire2 movie2 was2 enjoyable2 	muje1 kuch1 yaad1 nahi1 hein1 lekin1 pura1 movie2 tho2 enjoy2 kar1 raha1 tha1 
As2 well2 as2 when2 Stark2 defeats2 Stane2 on2 top2 of2 his2 building2 . 	tab1 shark2 tho2 stane1 ko2 defeat2 kar1 raha1 tha1 us1 uper1 vali2 building2 se1 
You'll2 have2 to2 watch2 it2 again2 and2 refresh2 your2 memory2 !!! 	aap1 dusre1 baar1 is1 movie1 ko1 dekho1 aur1 yaadon1 ko1 refresh2 karo1 
I2 think2 I2 recall2 that2 	mein1 bhi1 kuch1 aaise1 hi1 sochtha1 tha1 
Yes1 , I1 do1 need2 to2 watch2 it2 again2 	haa1 .. mein1 jarur1 dekhunga1 
maybe2 during2 spring2 break2 	spring2 ka2 break1 mein1 dekh1 lunga1 
Perfect2 ! You2 can2 follow2 up2 with2 the2 sequels2 . Haha1 	perfect2 ! aap2 sequels2 bhi2 followup1 karo1 .. ha1 ha1 
it's2 one2 of2 those2 movies2 you2 can2 just2 pick2 up2 and2 watch2 any2 time2 	yeh1 in2 movies2 mein1 yek1 hein1 , aap1 abhi1 hi1 pick2 up1 karo1 aur1 kabhi1 bhi1 watch1 kar1 sakthe1 hein1 
you2 don't2 really2 need2 to2 know2 the2 background2 	aap1 ko1 tho1 yeh1 background1 ko1 patha1 hi1 nahi1 
Definitely2 ! Even2 for2 the2 sequels2 . Still2 enjoyable2 . Well2 , it's2 been2 nice2 chatting2 ! Enjoy2 the2 rest2 of2 your2 day2 . 	Definitely2 ! mein2 sequels2 bhi1 dekh1 lunga1 .. bahut1 maja1 aayaga1 .. tho1 apse1 chat1 karne1 se1 ache1 laga1 ... rest2 of2 the2 day2 enjoy2 karo1 .. 
HI1 	namaste1 
HI1 	namaste1 
DID1 YOU1 SEE1 THIS1 FILM1 WONDER1 WOMAN1 	kya1 aapne1 wonder1 woman2 film1 dekha1 hai1 
YES1 	haa1 
DO1 U1 LIKE1 THIS1 FILM1 ? 	kya1 yah1 film1 aap1 ko1 pasand1 hai1 ? 
S1 I1 LIKE1 THIS1 FILM1 	mujhe1 ye1 film2 pasand2 hai1 
IT1 IS1 BASED1 ON2 DC2 COMISC2 . THE1 DISTRIBUTED1 BY1 WAMER2 BROS2 . PICTURES1 	yah1 dc2 comic2 par2 aadharit1 hai1 . wamer2 bros2 pictures2 ne2 vitarit1 kiya1 hai1 
YEAH1 IT1 IS1 A1 FAMOUS2 DC2 COMICS2 . 	Haan1 wo1 ek1 famous2 DC2 Comics2 hai2 
GOOD1 	Accha1 
THIS1 IS1 German2 Army2 ( German2 Empire2 ) 	Yeh1 hai1 German2 Army2 ( German2 Empire2 ) 
yes1 i1 know1 . The2 term2 Deutsches2 Heer2 is2 also2 used2 for2 the2 modern2 German2 Army2 , the2 land2 component2 of2 the2 Bundeswehr2 . 	Haan1 main1 jaanta1 hu1 . Ye1 term2 Deutsches2 Heer2 modern2 German2 Army2 k2 lie1 bhi1 use1 hoto1 hai1 . Bundeswehr2 ka2 land2 component2 
S1 APART1 FROM1 THIS2 Jenkins's2 role2 as2 director2 makes2 her2 the2 first2 female2 director2 of2 a2 live-action2 , theatrically2 released2 comic2 book2 superhero2 film2 . 	Iske1 alawa1 Jenkin2 ka2 role2 as2 a2 director2 use1 pahli1 women2 director2 bana1 deta1 hai1 kisi1 bhi1 live-action2 theatrically2 released2 comic2 book2 superhero2 film1 ka1 
ARE1 YOU1 LIKE1 THAT1 MOVIE1 	Tumhe1 wo1 movie2 pasand1 aayi1 ? 
YES1 I1 LIKE1 THAT1 . AND1 ALSO1 I1 ENJOYED1 THIS1 MOVIE1 . 	Haan1 mujhe1 pasand1 aayi1 aur1 maine1 is2 movie1 ko2 enjoy2 bhi1 kiya1 
OH1 HOW1 MANY1 TIMES1 YOU1 SEE1 THIS1 MOVIE1 	Oh1 kitne1 baar1 dekh1 chuke1 ho1 ye1 movie2 ? 
2 TIMES1 I1 WATCHED1 THIS1 MOVIE1 . 	main1 ye1 movie1 2 baar1 dekh1 chuka1 hu1 
ARE1 YOU1 LIKE1 THIS1 MOVIE1 DIRECTOR1 	Tumhe1 movie1 ki1 director1 pasand1 aayi1 kya1 ? 
ARE1 YOU1 FROM1 	Aap1 kaha1 se1 hai1 ? 
YEAH1 I1 LIKE1 THIS1 FILM1 DIRECTOR1 . 	Ha1 mujhe1 ye1 film2 director2 pasand1 hai1 
YEAH1 	Ha1 
WHAT1 YEAH1 	Kya1 ha1 
ARE1 YOU1 FROM1 	Aap1 kaha1 se1 hai1 
YES1 I2 AM1 HERE1 	Ha1 my1 yaha1 hoon1 
WHY1 DO1 LIKE1 THIS1 FILM1 ? 	Kyu1 ye1 film2 pasand2 hai1 
YES1 I1 LIKE1 THIS1 FILM1 	Ha1 mujhe1 ye1 movie2 pasand1 hai1 
BUT1 IAM1 NOT1 SEE1 THIS1 MOVIE1 	Lekin1 my1 ye1 movie1 nahi1 dekha1 
WHY1 DO1 DID1 NOT1 SEE1 THAT1 ? DO1 YOU1 KNOW1 THIS1 MOVIE1 IS1 REALLY1 GOOD1 	Kyu1 dekh1 nahi1 sakte1 ho1 ? tumhe1 pata1 hai1 yah1 movie1 bahut1 achi1 hai1 
WHICH1 CHARECTER2 YOU1 LIKE1 THIS1 MOVIE1 	IS1 FILM1 ME1 KAUN1 SE1 BHUMIKA1 AAP1 KO1 ACHHA1 LAGA1 
I1 LIKE1 ALL1 THE1 CHARACTER1 IN1 THIS1 FILM1 	IS1 FILM1 MEMUJHE1 SAB1 BHUMIKA1 ACHHI1 LAGI1 
OH1 REALLY1 	SACH1 
THAT1 NICE1 	BEHTHAR1 
OK2 FINE1 	BAHUT1 ACHHA1 
Hey2 , have2 you2 seen1 The2 Avengers2 ? It's2 a2 pretty2 good2 movie2 , you2 should2 check2 it2 out2 if2 you2 like2 Robert2 Downey2 Jr2 . 	hey1 , kya1 tumne1 Avengers2 dekhi1 ? The1 Avengers2 ? ye2 pretty2 good2 movie2 he1 , tumhe1 check1 karna1 chahiye1 agar1 tum1 Robert2 Downey2 Jr2 , ko1 like1 karte1 ho1 . 
YES1 , I1 KNOW1 AND1 ALSO1 I1 LIKE1 THE1 MOVIE1 	yes1 , me1 janata1 hu1 and1 me1 ye1 movie2 like2 karta1 hu1 
It's1 really2 great2 what2 Mark2 Ruffalo2 did2 as2 Bruce2 Banner2 / The2 Hulk2 , making2 him2 so2 calm2 yet2 ready2 to2 become2 a2 volcano2 don't2 you2 think2 ? 	yah1 vaastav1 mein1 bahut1 achchha1 hai1 ki1 maark1 raphphaalo1 ne2 broos2 bainar2 / da1 halk1 ke1 roop1 mein1 kya1 kiya1 , jisase1 vah1 itana1 shaant1 ho1 gaya1 ki1 aap1 jvaalaamukhee1 banane1 ke1 lie1 taiyaar1 nahin1 hain1 ? 
Yes1 , I1 think2 so2 	haan1 mujhe1 aisa1 lagata1 hai1 
I'm2 not2 always2 a2 big2 Joss2 Whedon2 fan2 , but2 he2 did2 a2 good2 job2 with2 the2 humor2 to2 spice2 up2 the2 team2 origin2 story2 . Were2 you2 surprised2 that2 it2 worked2 with2 so2 many2 characters2 ? 	main1 hamesha1 ek1 bada1 Joss2 Whedon2 prashansak2 nahin1 hoon1 , lekin1 unhonne1 teem1 kee1 mool1 kahaanee1 ko1 masaala1 dene1 ke1 lie1 haasy1 ke1 saath1 achchha1 kaam1 kiya1 . kya1 aap1 aashcharyachakit1 the1 ki1 isane1 kaee1 paatron1 ke1 saath1 kaam1 kiya1 ? 
Strictly2 , this2 may2 be2 his2 main2 potential2 	sakhtee1 se1 , yah1 usakee1 mukhy1 kshamata1 ho1 sakatee1 hai1 
I2 would2 say2 Robert2 Downey2 Jr2 . is2 also2 playing2 to2 his2 potential2 here2 , with2 his2 sharp2 tongue2 and2 sophistication2 . Who2 was2 your2 favorite2 character2 ? 	main1 kahoonga1 ki1 Robert2 Downey2 Jr2 bhee1 yahaan1 apanee1 kshamata1 ke1 saath1 khel1 rahe1 hain1 , apanee1 tej1 jeebh1 aur1 parishkaar1 ke1 saath1 . aapaka1 pasandeeda1 charitr1 kaun1 tha1 ? 
Robert2 Downey2 is2 my2 favorite2 favorite1 CHARACTER1 	Robert2 Downey2 mera1 sabase1 pasandeeda1 pasandeeda1 charitr1 hai1 
Did1 you2 think2 he2 made2 a2 good2 leadership2 figure2 of2 the2 Avengers2 or2 did2 anybody2 else2 stand2 out2 to2 you2 more2 that2 way2 ? 	kya1 aapako1 lagata1 hai1 ki1 unhonne1 evenjars2 kee1 achchhee1 leedaraship1 kee1 ya1 kisee1 aur1 ne1 aapako1 is1 tarah1 se1 khada1 kiya1 ? 
No1 , he2 is2 right2 	nahin1 , vah1 sahee1 hai1 
That2 opening2 with2 the2 Tesseract2 escape2 was2 pretty2 cool2 , setting2 the2 tone2 for2 the2 movie2 . 	Tesseract2 se1 bachakar1 nikalana1 kaaphee1 achchha1 tha1 , philm1 ke1 lie1 ton2 set1 karana1 . 
MAY1 BE1 That1 was2 the2 reason2 for2 the2 film's2 success2 	may1 bai1 yahee1 philm1 kee1 saphalata1 ka1 kaaran1 tha1 
Yeah1 , it2 was2 pretty2 surprising2 when2 Hawkey2 got2 enslaved2 so2 early2 in2 the2 movie2 though2 . 	Haan1 jab1 Hawkeye2 movie2 me1 itni1 jaldi1 enslave2 hogaya1 to1 wo1 kaafi1 surprising2 tha2 
It2 refers2 to2 image2 capture2 skills2 	Wo1 image2 capture2 skills2 k2 baare1 me1 hai1 
PLEASE1 CHAT1 ME1 FAST1 	Please1 mujhse1 chat1 karo1 fast1 
I'm2 not2 sure2 about2 that2 , but2 Nick2 Fury2 is2 always2 so2 cool1 . Too1 bad2 the2 bad2 guys2 always2 have2 to2 get2 one2 up2 on2 them2 . 	Main1 uske1 baare1 me1 sure1 nahi1 hu1 , but2 Nick2 Fury2 hamesha1 bahut1 cool1 rahta1 hai1 . Afsos1 bad2 guys2 hamesha1 ek1 kadam1 aage1 rahte1 hai1 
It's2 their2 nature2 and2 it's2 impossible2 	Wo1 unka1 nature1 hai1 aur1 wo1 impossible1 hai1 
I2 guess2 so2 . I2 wonder2 what2 the2 deal2 is2 with2 the2 leader2 of2 those2 Chitauri2 ? Very2 mysterious2 . 	I2 guess2 so2 . Akhir1 Chitauri1 k1 leader1 ka1 kya1 mamla1 hai1 . Kaafi1 mysterious2 
It2 was2 a2 mystery2 to2 the2 last2 	Wo1 bilkul1 last1 tak2 mystery2 tha2 
For2 this2 film2 at2 least2 I2 guess2 . It2 was2 pretty2 sad2 when2 Coulson2 died2 . Did2 that2 scene2 get2 you1 ? 	At2 least2 is2 film2 k1 liye1 I1 guess2 . Jab1 Coulson2 mara1 kaafi1 sad1 tha1 . Kya1 us1 scene1 me2 feeling1 aayi1 ? 
There2 is2 a2 glimpse2 of2 seeing2 	Dekhne1 ki1 ek1 jhalak1 thi1 
Yeah1 , a2 t2 least2 it2 brought2 the2 Avengers2 together2 finally2 , no2 need2 for2 them2 to2 be2 fighting2 each2 other2 the2 whole2 time2 . 	Haan1 , at2 least2 sabhi2 avengers2 ko1 saath1 le1 aayi1 , pure1 time1 aapas1 me1 ladne1 ki1 koi1 jarurat1 nai1 thi1 
There2 is2 no2 need2 	koi1 zarurat1 nhi1 
Absolutely2 . Beat1 on2 Loki2 , like2 the2 Hulk2 did2 . Who2 kicked2 the2 most2 butt2 do2 you2 think2 ? 	absolutely2 loki1 ko1 maro1 jaise1 hulk2 ne1 mara1 tha1 uski1 butt1 par2 lath1 kisne1 mari1 
I2 think2 so2 	muje1 lgta1 hai1 aisa1 
I2 loved2 that2 Hulk2 saved2 Iron2 Man2 when2 he2 was2 falling2 , such2 a2 great2 moment2 . 	muje1 acha1 lga1 ki1 hulk1 ne2 Iron2 Man2 ko1 bachaya1 girne1 se1 kitna1 acha1 samay1 tha1 wo1 
I2 like2 Hulk2 too2 	muje1 bhi1 Hulk2 pasand1 hai1 
Yeah1 he's1 the2 best2 . It's2 great2 that2 the2 whole2 team2 had2 to2 work2 together2 to2 save2 the2 day2 in2 the2 end2 , don't2 you2 think2 ? 	tumhe1 nhi1 lgta1 wo1 sabse1 acha1 hai1 , bhote1 badi1 baat1 hai1 ki1 puri1 team2 sath1 mai1 kaam1 krti1 hai1 din1 ko1 akhir1 mai1 bachane1 ke1 liye1 ? 
I2 knew2 and2 I2 thought2 	muje1 pta1 hai1 mai1 soch1 rha1 tha1 
There2 were2 certainly2 some2 high2 stakes2 with2 that2 nuclear2 missile2 heading2 for2 New2 York2 . 	kuch1 to1 bhote1 bada1 stake1 hai1 use2 nuclear2 missile2 mai1 jo1 new1 york1 ki1 teraf1 ja1 rhi1 thi1 
Hi1 there2 . What2 did2 you2 think2 of2 the2 movie2 ? 	namaste1 . aapane1 philm1 ke1 baare1 mein1 kya1 socha1 ? 
Hello1 ? 	namaste1 ? 
Hi1 , I1 think2 it's2 great2 , it2 would2 be2 good2 as2 a1 B2 roadway2 musical2 	namaste1 , mujhe1 lagata1 hai1 ki1 yah1 bahut1 achchha1 hai1 , yah1 bee1 rodave1 sangeet1 ke1 roop1 mein1 achchha1 hoga1 
Why2 do1 you2 think2 it2 would2 be2 great2 as2 a2 Broadway2 musical2 ? 	aapako1 kya1 lagata1 hai1 ki1 brodave1 sangeet1 ke1 roop1 mein1 yah1 bahut1 achchha1 hoga1 ? 
mainly2 the2 singing2 but2 also2 since2 the2 story2 is2 about2 a2 journey2 . 	mukhy1 roop1 se1 gaayan1 lekin1 jab1 se1 kahaanee1 ek1 yaatra1 ke1 baare1 mein1 hai1 . 
What2 do2 you2 think2 ? 	tum1 kya1 sochate1 ho1 ? 
The2 music2 in2 movie2 is2 very2 catchy2 and2 enjoyable2 , so2 I2 agree2 . 	philm1 mein1 sangeet1 bahut1 hee1 aakarshak1 aur1 aanandadaayak1 hai1 , isalie1 main1 sahamat1 hoon1 . 
Whose2 journey2 did2 you2 find2 most2 compelling2 ? 	aapane1 kisakee1 yaatra1 ko1 sabase1 adhik1 sammohak1 paaya1 ? 
Anna's2 journey2 	anna1 kee1 yaatra1 
Did1 you2 think2 the2 conclusion2 was2 satisfying2 for2 her2 character2 ? 	kya1 aapako1 lagata1 hai1 ki1 nishkarsh1 usake1 charitr1 ke1 lie1 santoshajanak1 tha1 ? 
She2 was2 trying2 to2 be2 herself2 and2 at2 the2 same2 time2 protect2 her2 sister2 so2 I2 think2 it2 was2 satisfying2 since2 that2 was2 accomplished2 . 	vah1 khud1 hone1 kee1 koshish1 kar1 rahee1 thee1 aur1 saath1 hee1 saath1 apanee1 bahan1 kee1 raksha1 kar1 rahee1 thee1 , isalie1 mujhe1 lagata1 hai1 ki1 yah1 poora1 hone1 ke1 baad1 se1 santusht1 thee1 . 
I2 agree2 	main1 sahamat1 hoon1 
Have2 you2 heard2 of2 the2 fairy2 tale2 that2 the2 movie2 was2 based2 on2 ? 	kya1 aapane1 paree1 katha1 ke1 baare1 mein1 suna1 hai1 jo1 philm1 par1 aadhaarit1 thee1 ? 
No1 , never2 . 	nahin1 kabhee1 nahin1 . 
Which2 character2 do2 you2 most2 admire2 ? 	aap1 kis1 charitr1 kee1 sabase1 adhik1 prashansa1 karate1 hain1 ? 
hello1 ? 	namaskar1 
Hello1 ! 	Hello1 ! 
What2 do2 you2 think2 of2 John2 Lee2 Hancock2 ? 	Tum1 John2 Lee2 Hancock2 k2 baare1 me1 kya1 sochte1 ho1 ? 
Hello1 . 	Hello1 
Hey1 ! Have2 you2 ever2 seen2 The2 Social2 Network2 ? 	hey1 ! kya1 The2 social2 network2 dekha1 ? 
I2 have2 not2 , but2 I2 know1 it2 was2 filmed2 in2 2010. 	nahi1 yar1 . lekin1 muje1 patha1 hein1 ki1 voh1 2010 mien1 filmed1 huva1 
Have2 you2 seen2 it2 ? 	aap1 dekha1 ? 
I2 personally2 enjoyed2 it2 . It2 tells2 the2 story2 of2 the2 founding2 of2 Facebook2 . Do1 you2 like2 movies2 based2 on2 reality2 ? 	mein1 personally2 enjoy2 kiya2 .. facebook1 ka1 story1 hein1 yar1 .. reality2 based2 movie2 dekhna1 pasand1 hein1 ? 
I2 do1 . I2 also2 like2 Jesse2 Eisenberg2 and2 Justin2 Timberlake2 . The2 movie2 got2 good2 reviews2 , so2 maybe2 I2 will2 watch2 it2 . 	muje1 bhi1 .. muje1 jesse2 eisenberg2 aur2 justin2 timberlake2 pasand1 hein1 . yeh1 movie2 ache2 reviews2 nikli2 , maybe1 mein1 watch1 jarur1 karunga1 
I2 really2 would2 recommend2 it2 myself2 . It2 was2 extremely2 good2 . Jesse2 Eisenberg2 plays2 Zuckerburg2 in2 such2 an2 intense2 way2 . It's2 a2 great2 film2 . 	tho1 mein1 jarur1 recommend1 karunga1 .. yeh1 ache1 hein1 .. kya1 jesse2 eisenberg2 yaani2 zuckerburg2 ka2 role2 play2 intense2 se1 kiya1 .. voh1 tho1 badiya1 film1 hein1 
Did1 you1 read2 the2 book2 the2 movie2 was2 based2 on2 ? The2 Accidental2 Billionaires2 ? 	kya1 aap1 us1 book1 ko2 read1 kiya1 jo1 yeh1 movie2 ? the2 accidental2 billionaires2 ? 
I2 just2 learned2 it2 was2 based2 on2 the2 book2 today2 . I'm2 definitely2 going2 to2 have2 to2 read2 it2 . 	mein1 kuch1 learn1 kiya1 hein1 us2 book1 se1 aaj1 .. mein1 definitely2 padunga1 
Apparently2 , the2 biographical2 part2 of2 the2 movie2 isn't2 exactly2 true2 to2 life2 , since2 the2 movie2 was2 based2 on2 the2 book2 . Mark2 Zuckerberg2 had2 no2 part2 in2 contributing2 to2 the2 movie2 . 	acha1 tho2 biographical2 part2 tho1 is2 movie2 mein1 jarur1 sach1 kaha1 hoga1 .. kyon1 ki1 is2 movie2 tho2 book2 ka2 based2 hein2 .. mark2 zuckerberg2 tho1 koi1 contribute2 nahi1 deya1 hoga1 
That2 is2 certainly2 interesting2 to2 know2 . I2 always2 wondered2 about2 it2 myself2 . Apparently2 , Saverin2 was2 the2 only2 consultant2 with2 any2 true2 to2 life2 information2 . 	Ye1 janna1 jarur1 interesting2 hai1 . Main1 hamesha1 is1 bare2 me1 sochta1 tha1 . Apparently2 , Saverin2 akela2 consultant2 tha2 jiske1 paas1 koi1 true2 to2 life2 information2 thi2 . 
Was2 it2 weird2 to2 see2 Armie2 Hammer2 play2 two2 people2 ? 	Kya1 Armie2 Hammer2 ko1 do1 log2 play2 karte1 hue1 dekhna1 weird2 tha2 ? 
